"cntry","essround","variable","ess_id","party","partyfacts_id","partyfacts_name"
"AT",1,"prtvtat",1,"SPÖ",1384,"SPO"
"AT",1,"prtvtat",2,"ÖVP",1329,"OVP"
"AT",1,"prtvtat",3,"FPÖ",463,"FPO"
"AT",1,"prtvtat",4,"Grüne",1659,"Gruene"
"AT",1,"prtvtat",5,"LIF",605,"LIF"
"AT",1,"prtvtat",6,"Andere",NA,NA
"AT",1,"prtvtat",7,"Not applicable",NA,NA
"AT",1,"prtvtat",8,"Refusal",NA,NA
"AT",1,"prtvtat",9,"Don't know",NA,NA
"AT",2,"prtvtat",1,"SPÖ",1384,"SPO"
"AT",2,"prtvtat",2,"ÖVP",1329,"OVP"
"AT",2,"prtvtat",3,"FPÖ",463,"FPO"
"AT",2,"prtvtat",4,"Grüne",1659,"Gruene"
"AT",2,"prtvtat",5,"LIF",605,"LIF"
"AT",2,"prtvtat",6,"Andere",NA,NA
"AT",2,"prtvtat",7,"Not applicable",NA,NA
"AT",2,"prtvtat",8,"Refusal",NA,NA
"AT",2,"prtvtat",9,"Don't know",NA,NA
"AT",3,"prtvtaat",1,"SPÖ",1384,"SPO"
"AT",3,"prtvtaat",2,"ÖVP",1329,"OVP"
"AT",3,"prtvtaat",3,"FPÖ",463,"FPO"
"AT",3,"prtvtaat",4,"BZÖ",599,"BZO"
"AT",3,"prtvtaat",5,"GRÜNE",1659,"Gruene"
"AT",3,"prtvtaat",6,"LIF",605,"LIF"
"AT",3,"prtvtaat",7,"KPÖ",996,"KPO"
"AT",3,"prtvtaat",8,"Other",NA,NA
"AT",3,"prtvtaat",9,"Not applicable",NA,NA
"AT",3,"prtvtaat",10,"Refusal",NA,NA
"AT",3,"prtvtaat",11,"Don't know",NA,NA
"AT",7,"prtvtbat",1,"SPÖ",1384,"SPO"
"AT",7,"prtvtbat",2,"ÖVP",1329,"OVP"
"AT",7,"prtvtbat",3,"FPÖ",463,"FPO"
"AT",7,"prtvtbat",4,"BZÖ",599,"BZO"
"AT",7,"prtvtbat",5,"Grüne",1659,"Gruene"
"AT",7,"prtvtbat",6,"KPÖ",996,"KPO"
"AT",7,"prtvtbat",7,"NEOS",1970,"NEOS"
"AT",7,"prtvtbat",8,"Piratenpartei Österreich",2591,NA
"AT",7,"prtvtbat",9,"Team Frank Stronach",1971,"TS"
"AT",7,"prtvtbat",10,"Other",NA,NA
"AT",7,"prtvtbat",11,"Not applicable",NA,NA
"AT",7,"prtvtbat",12,"Refusal",NA,NA
"AT",7,"prtvtbat",13,"Don't know",NA,NA
"AT",8,"prtvtbat",1,"SPÖ",1384,"SPO"
"AT",8,"prtvtbat",2,"ÖVP",1329,"OVP"
"AT",8,"prtvtbat",3,"FPÖ",463,"FPO"
"AT",8,"prtvtbat",4,"BZÖ",599,"BZO"
"AT",8,"prtvtbat",5,"Grüne",1659,"Gruene"
"AT",8,"prtvtbat",6,"KPÖ",996,"KPO"
"AT",8,"prtvtbat",7,"NEOS",1970,"NEOS"
"AT",8,"prtvtbat",8,"Piratenpartei Österreich",2591,NA
"AT",8,"prtvtbat",9,"Team Frank Stronach",1971,"TS"
"AT",8,"prtvtbat",10,"Other",NA,NA
"AT",8,"prtvtbat",11,"Not applicable",NA,NA
"AT",8,"prtvtbat",12,"Refusal",NA,NA
"AT",8,"prtvtbat",13,"Don't know",NA,NA
"AT",9,"prtvtcat",1,"SPÖ",1384,"SPO"
"AT",9,"prtvtcat",2,"ÖVP",1329,"OVP"
"AT",9,"prtvtcat",3,"FPÖ",463,"FPO"
"AT",9,"prtvtcat",4,"PILZ",6137,"PILZ"
"AT",9,"prtvtcat",5,"Grüne",1659,"Gruene"
"AT",9,"prtvtcat",6,"KPÖ",996,"KPO"
"AT",9,"prtvtcat",7,"NEOS",1970,"NEOS"
"AT",9,"prtvtcat",8,"GILT",6138,"GILT"
"AT",9,"prtvtcat",9,"Other",NA,NA
"AT",9,"prtvtcat",66,"Not applicable",NA,NA
"AT",9,"prtvtcat",77,"Refusal",NA,NA
"AT",9,"prtvtcat",88,"Don't know",NA,NA
"BE",1,"prtvtbe",1,"Agalev",528,"AGL-Gr"
"BE",1,"prtvtbe",2,"CVP",622,"CVP|CD&V"
"BE",1,"prtvtbe",3,"SP",1680,"SP"
"BE",1,"prtvtbe",5,"VLD",49,"PVV|VLD"
"BE",1,"prtvtbe",6,"VU-ID",1424,"VU"
"BE",1,"prtvtbe",7,"PVDA-AE",1753,"PA-PTB"
"BE",1,"prtvtbe",8,"Vlaams Blok",553,"VB"
"BE",1,"prtvtbe",9,"VIVANT",76,"V"
"BE",1,"prtvtbe",10,"ECOLO",1563,"Ecolo"
"BE",1,"prtvtbe",11,"PSC",2338,NA
"BE",1,"prtvtbe",12,"PRL-FDF",698,"FDF"
"BE",1,"prtvtbe",13,"PS",500,"PS"
"BE",1,"prtvtbe",14,"FRONT NATIONAL",191,"FN"
"BE",1,"prtvtbe",15,"PTB-UA",1753,"PA-PTB"
"BE",1,"prtvtbe",16,"OTHER",NA,NA
"BE",1,"prtvtbe",17,"Not applicable",NA,NA
"BE",1,"prtvtbe",18,"Refusal",NA,NA
"BE",1,"prtvtbe",19,"Don't know",NA,NA
"BE",1,"prtvtbe",20,"No answer",NA,NA
"BE",2,"prtvtabe",1,"Agalev/Groen!",528,"AGL-Gr"
"BE",2,"prtvtabe",2,"CD&V",604,NA
"BE",2,"prtvtabe",3,"N-VA",36,"N-VA"
"BE",2,"prtvtabe",5,"SP.A-Spirit",1586,"SPa+Spi"
"BE",2,"prtvtabe",6,"Vivant",76,"V"
"BE",2,"prtvtabe",7,"Vlaams Blok",553,"VB"
"BE",2,"prtvtabe",8,"VLD",49,"PVV|VLD"
"BE",2,"prtvtabe",9,"CDH",2338,NA
"BE",2,"prtvtabe",10,"Ecolo",1563,"Ecolo"
"BE",2,"prtvtabe",11,"Front National",191,"FN"
"BE",2,"prtvtabe",12,"MR",789,"MR"
