cntry,essround,variable,ess_id,party,partyfacts_id,partyfacts_name,original_partyfacts_data
AT,1,prtvtat,1,SPÖ,1384,SPO,1
AT,1,prtvtat,2,ÖVP,1329,OVP,1
AT,1,prtvtat,3,FPÖ,463,FPO,1
AT,1,prtvtat,4,Grüne,1659,GRUENE,1
AT,1,prtvtat,5,LIF,605,LIF,1
AT,1,prtvtat,6,Andere,NA,NA,1
AT,1,prtvtat,7,Not applicable,NA,NA,1
AT,1,prtvtat,8,Refusal,NA,NA,1
AT,1,prtvtat,9,Don't know,NA,NA,1
AT,2,prtvtat,1,SPÖ,1384,SPO,1
AT,2,prtvtat,2,ÖVP,1329,OVP,1
AT,2,prtvtat,3,FPÖ,463,FPO,1
AT,2,prtvtat,4,Grüne,1659,GRUENE,1
AT,2,prtvtat,5,LIF,605,LIF,1
AT,2,prtvtat,6,Andere,NA,NA,1
AT,2,prtvtat,7,Not applicable,NA,NA,1
AT,2,prtvtat,8,Refusal,NA,NA,1
AT,2,prtvtat,9,Don't know,NA,NA,1
AT,3,prtvtaat,1,SPÖ,1384,SPO,1
AT,3,prtvtaat,2,ÖVP,1329,OVP,1
AT,3,prtvtaat,3,FPÖ,463,FPO,1
AT,3,prtvtaat,4,BZÖ,599,BZO,1
AT,3,prtvtaat,5,GRÜNE,1659,GRUENE,1
AT,3,prtvtaat,6,LIF,605,LIF,1
AT,3,prtvtaat,7,KPÖ,996,KPO,1
AT,3,prtvtaat,8,Other,NA,NA,1
AT,3,prtvtaat,9,Not applicable,NA,NA,1
AT,3,prtvtaat,10,Refusal,NA,NA,1
AT,3,prtvtaat,11,Don't know,NA,NA,1
AT,7,prtvtbat,1,SPÖ,1384,SPO,1
AT,7,prtvtbat,2,ÖVP,1329,OVP,1
AT,7,prtvtbat,3,FPÖ,463,FPO,1
AT,7,prtvtbat,4,BZÖ,599,BZO,1
AT,7,prtvtbat,5,Grüne,1659,GRUENE,1
AT,7,prtvtbat,6,KPÖ,996,KPO,1
AT,7,prtvtbat,7,NEOS,1970,NEOS,1
AT,7,prtvtbat,8,Piratenpartei Österreich,2591,Piratenpartei Österreich,1
AT,7,prtvtbat,9,Team Frank Stronach,1971,TS,1
AT,7,prtvtbat,10,Other,NA,NA,1
AT,7,prtvtbat,11,Not applicable,NA,NA,1
AT,7,prtvtbat,12,Refusal,NA,NA,1
AT,7,prtvtbat,13,Don't know,NA,NA,1
AT,8,prtvtbat,1,SPÖ,1384,SPO,0
AT,8,prtvtbat,2,ÖVP,1329,OVP,0
AT,8,prtvtbat,3,FPÖ,463,FPO,0
AT,8,prtvtbat,4,BZÖ,599,BZO,0
AT,8,prtvtbat,5,Grüne,1659,GRUENE,0
AT,8,prtvtbat,6,KPÖ,996,KPO,0
AT,8,prtvtbat,7,NEOS,1970,NEOS,0
AT,8,prtvtbat,8,Piratenpartei Österreich,2591,Piratenpartei Österreich,0
AT,8,prtvtbat,9,Team Frank Stronach,1971,TS,0
AT,8,prtvtbat,10,Other,NA,NA,0
